"year","mbbs_county","route","route_num","count"
2009,"orange",11,11,0
2017,"orange",11,11,7
2018,"orange",11,11,3
2019,"orange",11,11,10
2020,"orange",11,11,7
2021,"orange",11,11,4
2022,"orange",11,11,7
2023,"orange",11,11,7
1999,"orange",12,12,7
2000,"orange",12,12,6
2001,"orange",12,12,5
2002,"orange",12,12,8
2003,"orange",12,12,11
2004,"orange",12,12,13
2005,"orange",12,12,11
2006,"orange",12,12,12
2007,"orange",12,12,9
2008,"orange",12,12,12
2009,"orange",12,12,10
2010,"orange",12,12,10
2011,"orange",12,12,0
2012,"orange",12,12,5
2013,"orange",12,12,13
2014,"orange",12,12,10
2015,"orange",12,12,4
2016,"orange",12,12,13
2017,"orange",12,12,10
2018,"orange",12,12,11
2019,"orange",12,12,8
2020,"orange",12,12,10
2021,"orange",12,12,1
2022,"orange",12,12,5
2023,"orange",12,12,6
2002,"durham",21,1,9
2003,"durham",21,1,7
2004,"durham",21,1,1
2005,"durham",21,1,1
2006,"durham",21,1,3
2007,"durham",21,1,4
2008,"durham",21,1,3
2009,"durham",21,1,1
2010,"durham",21,1,9
2011,"durham",21,1,9
2012,"durham",21,1,4
2013,"durham",21,1,5
2014,"durham",21,1,3
2015,"durham",21,1,3
2016,"durham",21,1,7
2017,"durham",21,1,10
2018,"durham",21,1,7
2019,"durham",21,1,10
2020,"durham",21,1,10
2021,"durham",21,1,12
2022,"durham",21,1,8
2023,"durham",21,1,5
2002,"durham",22,2,6
2003,"durham",22,2,4
2004,"durham",22,2,6
2005,"durham",22,2,11
2006,"durham",22,2,2
2007,"durham",22,2,8
2008,"durham",22,2,10
2009,"durham",22,2,4
2010,"durham",22,2,7
2011,"durham",22,2,4
2012,"durham",22,2,4
2013,"durham",22,2,1
2014,"durham",22,2,3
2015,"durham",22,2,7
2017,"durham",22,2,5
2018,"durham",22,2,9
2019,"durham",22,2,6
2020,"durham",22,2,6
2022,"durham",22,2,10
2023,"durham",22,2,9
2002,"durham",23,3,9
2003,"durham",23,3,12
2004,"durham",23,3,9
2005,"durham",23,3,1
2006,"durham",23,3,11
2007,"durham",23,3,11
2008,"durham",23,3,12
2009,"durham",23,3,9
2010,"durham",23,3,5
2011,"durham",23,3,2
2012,"durham",23,3,7
2013,"durham",23,3,7
2014,"durham",23,3,2
2015,"durham",23,3,8
2016,"durham",23,3,3
2017,"durham",23,3,8
2018,"durham",23,3,8
2019,"durham",23,3,4
2020,"durham",23,3,9
2021,"durham",23,3,2
2022,"durham",23,3,5
2023,"durham",23,3,4
2002,"durham",24,4,3
