"year","date","mbbs_county","route","route_num","tax_order","count","county_factor","time"
2002,2002-05-27,"durham",22,2,33465,1,20,3
2002,2002-05-27,"orange",13,12,33465,2,1,3
2002,2002-05-31,"orange",10,9,33465,0,NA,3
2002,2002-06-02,"chatham",43,3,33465,7,40,3
2002,2002-06-02,"chatham",54,14,33465,1,40,3
2002,2002-06-02,"durham",23,3,33465,0,NA,3
2002,2002-06-02,"durham",25,5,33465,0,NA,3
2002,2002-06-02,"orange",2,1,33465,6,1,3
2002,2002-06-02,"orange",3,2,33465,4,1,3
2002,2002-06-06,"durham",21,1,33465,0,NA,3
2002,2002-06-08,"chatham",47,7,33465,5,40,3
2002,2002-06-09,"chatham",41,1,33465,0,NA,3
2002,2002-06-09,"orange",4,3,33465,1,1,3
2002,2002-06-09,"orange",5,4,33465,1,1,3
2002,2002-06-09,"orange",7,6,33465,0,NA,3
2002,2002-06-11,"durham",24,4,33465,2,20,3
2002,2002-06-13,"durham",27,7,33465,1,20,3
2002,2002-06-13,"durham",28,8,33465,0,NA,3
2002,2002-06-15,"orange",6,5,33465,5,1,3
2002,2002-06-16,"chatham",49,9,33465,1,40,3
2002,2002-06-16,"chatham",50,10,33465,2,40,3
2002,2002-06-16,"orange",11,10,33465,5,1,3
2002,2002-06-18,"chatham",48,8,33465,1,40,3
2002,2002-06-23,"chatham",46,6,33465,6,40,3
2002,2002-06-23,"chatham",52,12,33465,5,40,3
2002,2002-06-24,"orange",12,11,33465,4,1,3
2002,2002-06-29,"chatham",51,11,33465,0,NA,3
2002,2002-06-30,"chatham",53,13,33465,0,NA,3
2002,2002-06-30,"durham",26,6,33465,0,NA,3
2002,2002-06-30,"orange",9,8,33465,0,NA,3
2003,2003-05-15,"orange",8,7,33465,1,1,4
2003,2003-05-18,"orange",13,12,33465,2,1,4
2003,2003-05-26,"orange",5,4,33465,2,1,4
2003,2003-05-31,"durham",22,2,33465,3,20,4
2003,2003-06-01,"chatham",54,14,33465,4,40,4
2003,2003-06-01,"durham",25,5,33465,0,NA,4
2003,2003-06-01,"orange",9,8,33465,1,1,4
2003,2003-06-06,"chatham",51,11,33465,0,NA,4
2003,2003-06-07,"orange",2,1,33465,9,1,4
2003,2003-06-08,"chatham",43,3,33465,6,40,4
2003,2003-06-08,"chatham",44,4,33465,2,40,4
2003,2003-06-08,"orange",3,2,33465,2,1,4
2003,2003-06-09,"chatham",41,1,33465,0,NA,4
2003,2003-06-11,"chatham",42,2,33465,0,NA,4
2003,2003-06-11,"durham",24,4,33465,2,20,4
2003,2003-06-13,"durham",27,7,33465,2,20,4
2003,2003-06-13,"durham",28,8,33465,0,NA,4
2003,2003-06-15,"durham",26,6,33465,0,NA,4
2003,2003-06-21,"chatham",52,12,33465,4,40,4
2003,2003-06-21,"orange",6,5,33465,9,1,4
2003,2003-06-22,"chatham",48,8,33465,2,40,4
2003,2003-06-22,"chatham",49,9,33465,6,40,4
2003,2003-06-22,"chatham",50,10,33465,3,40,4
2003,2003-06-22,"durham",23,3,33465,1,20,4
2003,2003-06-22,"orange",4,3,33465,2,1,4
2003,2003-06-22,"orange",11,10,33465,5,1,4
2003,2003-06-22,"orange",12,11,33465,0,NA,4
2003,2003-06-28,"chatham",47,7,33465,7,40,4
2003,2003-06-28,"durham",21,1,33465,6,20,4
