"year","date","mbbs_county","route","route_num","tax_order","count","county_factor","time"
2003,2003-05-26,"orange",5,4,26890,0,NA,4
2003,2003-05-31,"durham",22,2,26890,0,NA,4
2003,2003-06-01,"chatham",54,14,26890,0,NA,4
2003,2003-06-01,"durham",25,5,26890,7,20,4
2003,2003-06-01,"orange",9,8,26890,0,NA,4
2003,2003-06-06,"chatham",51,11,26890,0,NA,4
2003,2003-06-07,"orange",2,1,26890,24,1,4
2003,2003-06-08,"chatham",43,3,26890,0,NA,4
2003,2003-06-08,"chatham",44,4,26890,2,40,4
2003,2003-06-08,"orange",3,2,26890,13,1,4
2003,2003-06-09,"chatham",41,1,26890,2,40,4
2003,2003-06-11,"chatham",42,2,26890,5,40,4
2003,2003-06-11,"durham",24,4,26890,5,20,4
2003,2003-06-13,"durham",27,7,26890,0,NA,4
2003,2003-06-13,"durham",28,8,26890,1,20,4
2003,2003-06-15,"durham",26,6,26890,0,NA,4
2003,2003-06-21,"chatham",52,12,26890,0,NA,4
2003,2003-06-21,"orange",6,5,26890,1,1,4
2003,2003-06-22,"chatham",48,8,26890,1,40,4
2003,2003-06-22,"chatham",49,9,26890,1,40,4
2003,2003-06-22,"chatham",50,10,26890,1,40,4
2003,2003-06-22,"durham",23,3,26890,12,20,4
2003,2003-06-22,"orange",4,3,26890,30,1,4
2003,2003-06-22,"orange",11,10,26890,35,1,4
2003,2003-06-22,"orange",12,11,26890,0,1,4
2003,2003-06-28,"chatham",47,7,26890,25,40,4
2003,2003-06-28,"durham",21,1,26890,0,NA,4
2003,2003-06-29,"chatham",45,5,26890,3,40,4
2003,2003-06-29,"chatham",53,13,26890,29,40,4
2003,2003-06-30,"orange",7,6,26890,5,1,4
2003,2003-07-06,"chatham",46,6,26890,8,40,4
2004,2004-05-22,"orange",8,7,26890,6,1,5
2004,2004-05-23,"chatham",42,2,26890,1,40,5
2004,2004-05-23,"orange",4,3,26890,17,1,5
2004,2004-05-23,"orange",13,12,26890,3,1,5
2004,2004-05-28,"orange",3,2,26890,15,1,5
2004,2004-05-29,"orange",6,5,26890,3,1,5
2004,2004-05-31,"chatham",43,3,26890,0,NA,5
2004,2004-05-31,"chatham",54,14,26890,19,40,5
2004,2004-05-31,"durham",25,5,26890,2,20,5
2004,2004-05-31,"orange",11,10,26890,27,1,5
2004,2004-06-02,"orange",9,8,26890,2,1,5
2004,2004-06-06,"chatham",45,5,26890,0,NA,5
2004,2004-06-06,"durham",22,2,26890,2,20,5
2004,2004-06-06,"durham",26,6,26890,5,20,5
2004,2004-06-06,"orange",2,1,26890,15,1,5
2004,2004-06-06,"orange",5,4,26890,0,NA,5
2004,2004-06-06,"orange",7,6,26890,2,1,5
2004,2004-06-06,"orange",12,11,26890,4,1,5
2004,2004-06-10,"durham",24,4,26890,0,NA,5
2004,2004-06-11,"durham",28,8,26890,4,20,5
2004,2004-06-13,"chatham",41,1,26890,3,40,5
2004,2004-06-13,"chatham",44,4,26890,12,40,5
2004,2004-06-13,"chatham",50,10,26890,3,40,5
2004,2004-06-13,"chatham",52,12,26890,0,NA,5
2004,2004-06-13,"durham",21,1,26890,0,NA,5
2004,2004-06-15,"durham",27,7,26890,1,20,5
2004,2004-06-19,"chatham",47,7,26890,0,NA,5
2004,2004-06-20,"chatham",46,6,26890,0,NA,5
2004,2004-06-20,"durham",23,3,26890,14,20,5
2004,2004-06-24,"orange",10,9,26890,0,NA,5
2004,2004-06-27,"chatham",48,8,26890,0,NA,5
2004,2004-06-27,"chatham",53,13,26890,12,40,5
2005,2005-05-08,"orange",3,2,26890,4,1,6
2005,2005-05-15,"chatham",43,3,26890,0,NA,6
2005,2005-05-15,"orange",9,8,26890,2,1,6
2005,2005-05-22,"chatham",42,2,26890,7,40,6
2005,2005-05-23,"orange",2,1,26890,13,1,6
2005,2005-05-23,"orange",8,7,26890,6,1,6
2005,2005-05-29,"durham",22,2,26890,0,NA,6
2005,2005-05-29,"orange",5,4,26890,2,1,6
2005,2005-05-30,"chatham",44,4,26890,8,40,6
2005,2005-05-30,"chatham",54,14,26890,4,40,6
2005,2005-06-01,"chatham",46,6,26890,30,40,6
2005,2005-06-01,"chatham",51,11,26890,0,NA,6
2005,2005-06-07,"orange",10,9,26890,6,1,6
2005,2005-06-08,"durham",24,4,26890,2,20,6
2005,2005-06-11,"orange",6,5,26890,35,1,6
2005,2005-06-11,"orange",13,12,26890,2,1,6
2005,2005-06-12,"chatham",52,12,26890,20,40,6
2005,2005-06-12,"orange",11,10,26890,8,1,6
2005,2005-06-13,"chatham",53,13,26890,40,40,6
2005,2005-06-13,"durham",25,5,26890,2,20,6
2005,2005-06-13,"durham",27,7,26890,5,20,6
2005,2005-06-19,"chatham",41,1,26890,0,NA,6
2005,2005-06-19,"chatham",49,9,26890,0,NA,6
