"year","county","route","route_num","count"
2009,"orange","orng-05",5,4
2010,"orange","orng-05",5,0
2011,"orange","orng-05",5,3
2012,"orange","orng-05",5,58
2013,"orange","orng-05",5,29
2014,"orange","orng-05",5,4
2015,"orange","orng-05",5,21
2016,"orange","orng-05",5,1
2017,"orange","orng-05",5,1
2018,"orange","orng-05",5,0
2019,"orange","orng-05",5,3
2020,"orange","orng-05",5,10
2021,"orange","orng-05",5,0
2022,"orange","orng-05",5,0
2023,"orange","orng-05",5,2
2024,"orange","orng-05",5,3
2025,"orange","orng-05",5,17
1999,"orange","orng-06",6,0
2000,"orange","orng-06",6,0
2001,"orange","orng-06",6,0
2002,"orange","orng-06",6,0
2003,"orange","orng-06",6,0
2004,"orange","orng-06",6,9
2005,"orange","orng-06",6,9
2006,"orange","orng-06",6,0
2007,"orange","orng-06",6,1
2008,"orange","orng-06",6,4
2009,"orange","orng-06",6,0
2010,"orange","orng-06",6,0
2011,"orange","orng-06",6,0
2012,"orange","orng-06",6,0
2013,"orange","orng-06",6,2
2014,"orange","orng-06",6,0
2015,"orange","orng-06",6,0
2016,"orange","orng-06",6,2
2017,"orange","orng-06",6,0
2019,"orange","orng-06",6,0
2020,"orange","orng-06",6,0
2021,"orange","orng-06",6,0
2022,"orange","orng-06",6,0
2023,"orange","orng-06",6,0
2024,"orange","orng-06",6,0
2025,"orange","orng-06",6,0
1999,"orange","orng-07",7,2
2000,"orange","orng-07",7,0
2001,"orange","orng-07",7,0
2002,"orange","orng-07",7,3
2003,"orange","orng-07",7,10
2004,"orange","orng-07",7,10
2005,"orange","orng-07",7,2
2006,"orange","orng-07",7,3
2007,"orange","orng-07",7,4
2008,"orange","orng-07",7,3
2009,"orange","orng-07",7,1
2010,"orange","orng-07",7,0
2011,"orange","orng-07",7,11
2012,"orange","orng-07",7,7
2014,"orange","orng-07",7,0
2015,"orange","orng-07",7,19
2016,"orange","orng-07",7,0
2017,"orange","orng-07",7,2
2018,"orange","orng-07",7,0
2019,"orange","orng-07",7,4
2020,"orange","orng-07",7,0
2021,"orange","orng-07",7,0
2022,"orange","orng-07",7,0
2023,"orange","orng-07",7,0
2024,"orange","orng-07",7,0
2025,"orange","orng-07",7,0
1999,"orange","orng-08",8,4
2000,"orange","orng-08",8,0
2001,"orange","orng-08",8,1
2002,"orange","orng-08",8,0
2003,"orange","orng-08",8,3
2004,"orange","orng-08",8,25
2005,"orange","orng-08",8,22
2006,"orange","orng-08",8,7
2007,"orange","orng-08",8,0
