ROWNUM	COUNTY	YEAR	ROUTE	DATE1	DATE2	HABHM	HABP	HABO	HABB	HABCH	VEHICLES	DCCO	GBHE	GRHE	BLVU	TUVU	CAGO	WODU	MALL	OSPR	SSHA	COHA	acsp	RSHA	BWHA	RTHA	WITU	NOBO	KILL	ROPI	MODO	YBCU	EASO	GHOW	BAOW	CONI	CWWI	WPWI	CHSW	RTHU	BEKI	RHWO	RBWO	DOWO	HAWO	NOFL	PIWO	EAWP	ACFL	WIFL	EAPH	GCFL	EAKI	LOSH	WEVI	YTVI	BHVI	WAVI	REVI	BLJA	AMCR	FICR	PUMA	TRSW	NRWS	CLSW	BARS	CACH	TUTI	WBNU	BHNU	CARW	HOWR	BGGN	EABL	WOTH	AMRO	GRCA	NOMO	BRTH	EUST	CEDW	NOPA	YEWA	YTWA	PIWA	PRAW	BAWW	AMRE	PROW	OVEN	LOWA	KEWA	COYE	HOWA	YBCH	SUTA	SCTA	EATO	CHSP	FISP	GRSP	SOSP	NOCA	BLGR	INBU	DICK	RWBL	EAME	COGR	BHCO	OROR	BAOR	HOFI	AMGO	HOSP	SPX1	SPX2	TOTALRT
11	ORANGE	1999	11	6/6	47	X	X	X	X	X	X	0	0	0	0	0	8	0	0	0	0	1	0	2	0	0	0	0	0	0	16	0	0	0	1	0	0	0	10	0	0	0	6	1	0	0	0	7	2	0	13	0	1	0	0	0	0	0	8	6	38	0	0	0	0	0	0	19	25	2	0	18	2	0	11	7	3	2	9	1	21	0	0	0	0	10	0	0	0	0	8	0	0	0	0	1	3	0	8	2	2	0	0	43	12	4	0	4	6	40	0	0	0	1	18	0	0	0	402
12	ORANGE	1999	12	5/23	23	X	X	X	X	X	X	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	8	0	0	0	7	1	0	2	0	1	0	0	0	5	0	0	0	0	0	0	6	1	17	2	0	0	0	0	3	7	13	0	3	18	1	5	1	5	22	8	8	1	36	0	0	0	0	16	0	0	0	0	3	1	0	1	0	0	5	1	13	6	1	0	0	48	3	3	0	5	1	18	1	1	0	5	6	0	0	0	330
13	ORANGE	1999	TOTALSP	X	430	X	X	X	X	X	X	0	2	4	1	3	77	0	4	0	0	2	0	7	0	4	0	7	16	0	229	5	0	0	3	0	1	1	59	2	0	0	73	22	4	7	1	40	5	0	32	16	10	0	3	2	0	0	120	45	274	5	0	0	2	0	48	109	159	16	6	186	3	68	89	79	73	18	92	16	156	0	1	0	2	94	4	0	0	0	29	1	0	21	0	10	16	6	55	103	37	9	1	299	34	130	0	40	75	222	20	4	1	48	76	26	0	0	3570
14	ORANGE	1999	FREQSP	X	12	X	X	X	X	X	X	0	2	3	1	3	9	0	1	0	0	2	0	4	0	2	0	6	7	0	12	3	0	0	3	0	1	1	10	2	0	0	12	9	3	3	1	11	4	0	8	7	4	0	2	2	0	0	12	11	11	3	0	0	1	0	6	11	12	8	4	12	2	11	12	12	11	7	11	8	11	0	1	0	2	10	2	0	0	0	9	1	0	6	0	6	7	5	11	11	11	4	1	12	11	12	0	11	10	12	7	4	1	10	12	6	0	0	12
15	ORANGE	2000	1	6/4	35	X	X	X	X	X	X	0	2	0	1	0	23	0	0	0	0	0	0	0	0	0	0	1	6	2	17	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	1	0	0	1	3	0	0	0	0	0	7	5	33	0	0	0	0	0	7	0	8	0	0	4	0	0	4	8	2	0	6	4	8	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	2	10	1	4	0	10	2	5	0	3	3	12	0	0	0	0	6	1	0	0	220
16	ORANGE	2000	2	5/27	27	X	X	X	X	X	X	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	19	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	1	21	0	0	0	0	0	2	3	18	0	0	5	0	1	6	7	0	0	3	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	4	3	0	0	7	3	13	0	2	1	9	2	0	0	0	8	0	0	0	170
17	ORANGE	2000	3	6/11	42	X	X	X	X	X	X	0	0	0	0	2	9	0	0	0	0	0	0	0	0	0	0	2	1	0	12	0	0	0	0	0	0	0	6	0	0	0	7	0	0	0	0	6	0	0	0	2	0	0	0	1	0	0	9	4	23	0	0	0	0	0	0	9	13	1	0	9	0	5	21	3	8	0	13	0	12	0	0	0	0	10	1	0	0	0	1	0	0	1	0	0	1	0	3	7	1	0	0	15	0	9	0	1	11	18	4	0	0	8	5	7	0	0	281
18	ORANGE	2000	4	5/27	27	X	X	X	X	X	X	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	7	1	0	0	0	0	0	0	4	1	0	0	4	4	0	0	0	2	0	0	1	0	0	0	0	0	0	0	9	0	36	0	0	0	0	0	0	4	7	1	0	16	0	5	1	2	4	3	2	2	8	0	1	0	1	5	0	0	0	0	0	0	0	3	0	2	2	0	4	1	1	0	0	29	2	10	0	0	0	5	3	1	0	0	3	0	0	0	199
19	ORANGE	2000	5	5/29	29	X	X	X	X	X	X	0	0	1	1	0	111	0	8	0	0	0	0	0	0	0	0	2	1	0	26	0	0	0	1	0	0	0	2	0	0	0	2	1	0	0	0	2	0	0	2	0	3	0	1	0	0	1	4	0	28	0	0	0	0	0	14	3	13	0	0	12	0	5	7	2	3	0	3	3	8	0	0	0	0	5	3	0	0	0	1	0	0	4	0	5	2	0	6	14	2	2	0	21	7	17	0	4	6	7	3	1	0	0	12	3	0	0	394
20	ORANGE	2000	6	6/4	35	X	X	X	X	X	X	0	0	0	4	9	0	0	2	0	0	0	0	0	0	0	1	0	1	0	11	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	6	3	29	0	0	0	0	0	0	4	11	1	0	3	0	7	11	6	3	3	4	3	3	0	0	0	0	8	0	0	0	0	1	0	0	0	0	1	0	0	6	15	0	0	0	38	1	13	0	0	1	8	2	0	0	4	13	0	0	0	245
