"year","date","mbbs_county","route","route_num","tax_order","count","county_factor","time"
2003,2003-05-26,"orange",5,4,20762,19,1,4
2003,2003-05-31,"durham",22,2,20762,28,20,4
2003,2003-06-01,"chatham",54,14,20762,10,40,4
2003,2003-06-01,"durham",25,5,20762,11,20,4
2003,2003-06-01,"orange",9,8,20762,18,1,4
2003,2003-06-06,"chatham",51,11,20762,36,40,4
2003,2003-06-07,"orange",2,1,20762,21,1,4
2003,2003-06-08,"chatham",43,3,20762,18,40,4
2003,2003-06-08,"chatham",44,4,20762,33,40,4
2003,2003-06-08,"orange",3,2,20762,15,1,4
2003,2003-06-09,"chatham",41,1,20762,44,40,4
2003,2003-06-11,"chatham",42,2,20762,11,40,4
2003,2003-06-11,"durham",24,4,20762,4,20,4
2003,2003-06-13,"durham",27,7,20762,6,20,4
2003,2003-06-13,"durham",28,8,20762,26,20,4
2003,2003-06-15,"durham",26,6,20762,6,20,4
2003,2003-06-21,"chatham",52,12,20762,16,40,4
2003,2003-06-21,"orange",6,5,20762,30,1,4
2003,2003-06-22,"chatham",48,8,20762,47,40,4
2003,2003-06-22,"chatham",49,9,20762,26,40,4
2003,2003-06-22,"chatham",50,10,20762,20,40,4
2003,2003-06-22,"durham",23,3,20762,25,20,4
2003,2003-06-22,"orange",4,3,20762,32,1,4
2003,2003-06-22,"orange",11,10,20762,23,1,4
2003,2003-06-22,"orange",12,11,20762,26,1,4
2003,2003-06-28,"chatham",47,7,20762,29,40,4
2003,2003-06-28,"durham",21,1,20762,18,20,4
2003,2003-06-29,"chatham",45,5,20762,35,40,4
2003,2003-06-29,"chatham",53,13,20762,34,40,4
2003,2003-06-30,"orange",7,6,20762,28,1,4
2003,2003-07-06,"chatham",46,6,20762,31,40,4
2004,2004-05-22,"orange",8,7,20762,15,1,5
2004,2004-05-23,"chatham",42,2,20762,14,40,5
2004,2004-05-23,"orange",4,3,20762,15,1,5
2004,2004-05-23,"orange",13,12,20762,16,1,5
2004,2004-05-28,"orange",3,2,20762,10,1,5
2004,2004-05-29,"orange",6,5,20762,31,1,5
2004,2004-05-31,"chatham",43,3,20762,11,40,5
2004,2004-05-31,"chatham",54,14,20762,15,40,5
2004,2004-05-31,"durham",25,5,20762,0,NA,5
2004,2004-05-31,"orange",11,10,20762,14,1,5
2004,2004-06-02,"orange",9,8,20762,21,1,5
2004,2004-06-06,"chatham",45,5,20762,22,40,5
2004,2004-06-06,"durham",22,2,20762,22,20,5
2004,2004-06-06,"durham",26,6,20762,13,20,5
2004,2004-06-06,"orange",2,1,20762,30,1,5
2004,2004-06-06,"orange",5,4,20762,25,1,5
2004,2004-06-06,"orange",7,6,20762,21,1,5
2004,2004-06-06,"orange",12,11,20762,31,1,5
2004,2004-06-10,"durham",24,4,20762,4,20,5
2004,2004-06-11,"durham",28,8,20762,18,20,5
2004,2004-06-13,"chatham",41,1,20762,18,40,5
2004,2004-06-13,"chatham",44,4,20762,36,40,5
